embeds,mentions,embed_docs,mention_docs,pct_with_embeds,pct_with_mentions,processed,cached,missing,date
142,14,61,13,0.06979405034324943,0.014874141876430207,874,0,126,2024-01-02
147,40,75,17,0.0872093023255814,0.019767441860465116,860,0,140,2024-01-09
185,37,71,18,0.08132875143184422,0.020618556701030927,873,0,127,2024-01-16
102,34,58,20,0.06598407281001138,0.022753128555176336,879,0,121,2024-01-23
108,40,54,15,0.061016949152542375,0.01694915254237288,885,0,114,2024-01-30
95,19,53,14,0.060849598163030996,0.016073478760045924,871,0,129,2024-02-06
154,13,59,8,0.06497797356828194,0.00881057268722467,908,0,92,2024-02-13
116,25,63,15,0.07039106145251396,0.01675977653631285,895,0,105,2024-02-20
113,15,61,11,0.06987399770904926,0.012600229095074456,873,0,127,2024-02-27
137,10,51,8,0.059718969555035126,0.00936768149882904,854,0,146,2024-03-05
112,18,56,12,0.06451612903225806,0.013824884792626729,868,0,132,2024-03-12
132,14,60,12,0.06993006993006994,0.013986013986013986,858,0,142,2024-03-19
115,17,68,13,0.07727272727272727,0.014772727272727272,880,0,120,2024-03-26
114,35,55,17,0.06152125279642058,0.01901565995525727,894,0,106,2024-04-02
179,21,63,16,0.07046979865771812,0.017897091722595078,894,0,106,2024-04-09
157,16,69,12,0.07700892857142858,0.013392857142857142,896,0,104,2024-04-16
143,16,63,10,0.07175398633257403,0.011389521640091117,878,0,122,2024-04-23
168,30,69,19,0.07840909090909091,0.02159090909090909,880,0,120,2024-04-30
130,15,61,11,0.07043879907621248,0.012702078521939953,866,0,134,2024-05-07
97,17,56,12,0.06306306306306306,0.013513513513513514,888,0,112,2024-05-14
108,15,47,12,0.052868391451068614,0.013498312710911136,889,0,111,2024-05-21
123,14,58,10,0.06538895152198422,0.011273957158962795,887,0,113,2024-05-28
104,14,58,11,0.06775700934579439,0.012850467289719626,856,0,144,2024-06-04
110,26,59,17,0.0689252336448598,0.01985981308411215,856,0,144,2024-06-11
101,17,54,11,0.060879368658399095,0.012401352874859075,887,0,113,2024-06-18
175,19,59,11,0.06689342403628118,0.012471655328798186,882,0,118,2024-06-25
81,19,54,8,0.06143344709897611,0.009101251422070534,879,0,121,2024-07-02
177,17,74,12,0.08495981630309989,0.013777267508610792,871,0,129,2024-07-09
104,38,48,16,0.056140350877192984,0.01871345029239766,855,0,144,2024-07-16
97,26,56,16,0.06256983240223464,0.017877094972067038,895,0,105,2024-07-23
49,10,37,4,0.08665105386416862,0.00936768149882904,427,0,75,2024-07-30
176,15,79,8,0.08700440528634361,0.00881057268722467,908,0,92,2024-08-06
130,40,71,24,0.07709011943539631,0.026058631921824105,921,0,79,2024-08-13
91,12,54,6,0.07563025210084033,0.008403361344537815,714,0,17,2024-08-20
108,14,58,12,0.06236559139784946,0.012903225806451613,930,0,70,2024-08-27
49,5,36,5,0.0627177700348432,0.008710801393728223,574,0,21,2024-09-03
71,22,38,10,0.04072883172561629,0.010718113612004287,933,0,67,2024-09-10
77,9,44,7,0.04695837780149413,0.007470651013874066,937,0,63,2024-09-17
51,2,39,2,0.06382978723404255,0.0032733224222585926,611,0,27,2024-09-24
121,16,46,12,0.04930332261521972,0.012861736334405145,933,0,67,2024-10-01
98,9,46,6,0.05054945054945055,0.006593406593406593,910,0,90,2024-10-08
99,15,41,13,0.04403866809881848,0.013963480128893663,931,0,69,2024-10-15
78,6,42,3,0.06140350877192982,0.0043859649122807015,684,0,29,2024-10-22
159,9,57,7,0.05993690851735016,0.007360672975814932,951,0,49,2024-10-29
185,13,52,10,0.05445026178010471,0.010471204188481676,955,0,45,2024-11-05
40,18,31,10,0.03333333333333333,0.010752688172043012,930,0,70,2024-11-12
57,2,24,2,0.0425531914893617,0.0035460992907801418,564,0,56,2024-11-19
43,6,22,4,0.023133543638275498,0.004206098843322818,951,0,49,2024-11-26
95,9,46,3,0.047866805411030174,0.003121748178980229,961,0,39,2024-12-03
